date,Jair Bolsonaro,Fernando Haddad,Ciro Gomes,Geraldo Alckmin,Marina Silva,isPartial
2017-12-31,2,0,2,0,0,False
2018-01-07,4,0,2,0,0,False
2018-01-14,2,0,1,0,0,False
2018-01-21,3,0,4,0,1,False
2018-01-28,3,0,3,0,1,False
2018-02-04,3,0,2,0,1,False
2018-02-11,3,0,2,0,1,False
2018-02-18,2,0,2,0,1,False
2018-02-25,2,0,2,0,1,False
2018-03-04,2,0,2,0,1,False
2018-03-11,3,0,2,0,1,False
2018-03-18,3,0,2,1,1,False
2018-03-25,3,0,2,1,1,False
2018-04-01,3,0,4,1,1,False
2018-04-08,5,0,11,3,1,False
2018-04-15,4,0,3,1,2,False
2018-04-22,4,0,3,0,1,False
2018-04-29,2,0,3,0,1,False
2018-05-06,2,0,4,0,1,False
2018-05-13,2,0,4,0,1,False
2018-05-20,3,0,5,1,1,False
2018-05-27,4,0,8,1,1,False
2018-06-03,3,0,5,1,1,False
2018-06-10,3,0,5,1,1,False
2018-06-17,2,0,5,1,1,False
2018-06-24,2,0,4,0,1,False
2018-07-01,2,0,4,0,1,False
2018-07-08,3,0,4,0,1,False
2018-07-15,3,0,7,1,1,False
2018-07-22,6,0,6,1,1,False
2018-07-29,15,0,14,3,4,False
2018-08-05,14,2,18,4,5,False
2018-08-12,13,1,11,2,4,False
2018-08-19,12,2,11,2,6,False
2018-08-26,30,2,33,6,16,False
2018-09-02,74,4,29,6,10,False
2018-09-09,58,9,48,5,10,False
2018-09-16,43,12,52,5,10,False
2018-09-23,43,11,35,6,10,False
2018-09-30,74,15,88,10,19,False
2018-10-07,95,40,78,10,21,False
2018-10-14,49,26,13,1,2,False
2018-10-21,46,19,11,1,3,False
2018-10-28,100,18,11,1,2,False
2018-11-04,28,3,3,0,1,False
2018-11-11,22,2,2,0,1,False
2018-11-18,18,3,2,0,0,False
2018-11-25,18,1,1,0,0,False
2018-12-02,19,1,1,0,0,False
2018-12-09,20,1,1,0,0,False
2018-12-16,18,1,1,0,0,False
2018-12-23,21,0,1,0,0,False
2018-12-30,61,1,2,0,1,False
