date,Lula,Jair Bolsonaro,Simone Tebet,Ciro Gomes,Felipe d'Avila,isPartial
2021-12-26,3,0,0,0,0,False
2022-01-02,4,1,0,0,0,False
2022-01-09,4,1,0,0,0,False
2022-01-16,3,1,0,0,0,False
2022-01-23,4,0,0,0,0,False
2022-01-30,3,0,0,0,0,False
2022-02-06,3,0,0,0,0,False
2022-02-13,3,0,0,0,0,False
2022-02-20,3,1,0,0,0,False
2022-02-27,3,0,0,0,0,False
2022-03-06,3,0,0,0,0,False
2022-03-13,3,0,0,0,0,False
2022-03-20,4,1,0,0,0,False
2022-03-27,5,1,0,0,0,False
2022-04-03,6,0,0,0,0,False
2022-04-10,4,0,0,0,0,False
2022-04-17,4,1,0,0,0,False
2022-04-24,5,0,0,1,0,False
2022-05-01,8,1,0,0,0,False
2022-05-08,6,0,0,1,0,False
2022-05-15,8,0,0,1,0,False
2022-05-22,5,0,1,1,0,False
2022-05-29,4,0,0,0,0,False
2022-06-05,4,1,0,0,0,False
2022-06-12,5,0,0,0,0,False
2022-06-19,5,1,0,0,0,False
2022-06-26,5,0,0,0,0,False
2022-07-03,5,0,0,0,0,False
2022-07-10,5,1,0,0,0,False
2022-07-17,5,1,0,1,0,False
2022-07-24,5,1,1,1,0,False
2022-07-31,6,1,0,0,0,False
2022-08-07,6,1,0,0,0,False
2022-08-14,8,1,0,1,0,False
2022-08-21,26,2,2,4,0,False
2022-08-28,19,2,3,3,1,False
2022-09-04,15,1,1,1,0,False
2022-09-11,14,1,1,1,0,False
2022-09-18,17,1,1,1,0,False
2022-09-25,35,2,5,5,1,False
2022-10-02,80,4,13,9,1,False
2022-10-09,30,1,1,0,0,False
2022-10-16,42,2,1,0,0,False
2022-10-23,46,3,1,0,0,False
2022-10-30,100,12,1,1,0,False
2022-11-06,33,2,0,0,0,False
2022-11-13,19,2,0,0,0,False
2022-11-20,12,1,0,0,0,False
2022-11-27,11,1,0,0,0,False
2022-12-04,9,1,0,0,0,False
2022-12-11,12,2,1,0,0,False
2022-12-18,9,1,1,0,0,False
2022-12-25,16,2,1,0,0,False
