date,Lula,Soraya Thronicke,Padre Kelmon,Léo Péricles,Sofia Manzano,isPartial
2021-12-26,3,0,0,0,0,False
2022-01-02,4,0,0,0,0,False
2022-01-09,4,0,0,0,0,False
2022-01-16,3,0,0,0,0,False
2022-01-23,4,0,0,0,0,False
2022-01-30,3,0,0,0,0,False
2022-02-06,3,0,0,0,0,False
2022-02-13,3,0,0,0,0,False
2022-02-20,3,0,0,0,0,False
2022-02-27,3,0,0,0,0,False
2022-03-06,3,0,0,0,0,False
2022-03-13,3,0,0,0,0,False
2022-03-20,4,0,0,0,0,False
2022-03-27,5,0,0,0,0,False
2022-04-03,6,0,0,0,0,False
2022-04-10,4,0,0,0,0,False
2022-04-17,4,0,0,0,0,False
2022-04-24,5,0,0,0,0,False
2022-05-01,8,0,0,0,0,False
2022-05-08,6,0,0,0,0,False
2022-05-15,8,0,0,0,0,False
2022-05-22,5,0,0,0,0,False
2022-05-29,4,0,0,0,0,False
2022-06-05,4,0,0,0,0,False
2022-06-12,5,0,0,0,0,False
2022-06-19,5,0,0,0,0,False
2022-06-26,5,0,0,0,0,False
2022-07-03,5,0,0,0,0,False
2022-07-10,5,0,0,0,0,False
2022-07-17,5,0,0,0,0,False
2022-07-24,5,0,0,0,0,False
2022-07-31,6,0,0,0,0,False
2022-08-07,6,0,0,0,0,False
2022-08-14,8,0,0,0,0,False
2022-08-21,26,0,0,0,0,False
2022-08-28,19,2,0,0,0,False
2022-09-04,15,0,0,0,0,False
2022-09-11,14,0,0,0,0,False
2022-09-18,17,0,1,0,0,False
2022-09-25,35,2,10,0,0,False
2022-10-02,80,2,3,0,0,False
2022-10-09,30,0,0,0,0,False
2022-10-16,42,0,0,0,0,False
2022-10-23,46,0,1,0,0,False
2022-10-30,100,0,0,0,0,False
2022-11-06,33,0,0,0,0,False
2022-11-13,19,0,0,0,0,False
2022-11-20,12,0,0,0,0,False
2022-11-27,11,0,0,0,0,False
2022-12-04,9,0,0,0,0,False
2022-12-11,12,0,0,0,0,False
2022-12-18,9,0,0,0,0,False
2022-12-25,16,0,0,0,0,False
