date,Lula,Flávio Bolsonaro,Hertz Dias,Renan Santos,Romeu Zema,isPartial
2025-06-15,43,0,0,0,0,False
2025-06-22,36,0,0,0,0,False
2025-06-29,29,0,0,0,0,False
2025-07-06,54,0,0,0,0,False
2025-07-13,61,1,0,0,0,False
2025-07-20,60,1,0,0,0,False
2025-07-27,52,0,0,0,0,False
2025-08-03,49,1,0,0,0,False
2025-08-10,35,0,0,0,0,False
2025-08-17,37,0,0,0,1,False
2025-08-24,42,0,0,0,0,False
2025-08-31,35,0,0,1,0,False
2025-09-07,61,1,0,0,0,False
2025-09-14,47,0,0,0,0,False
2025-09-21,61,0,0,0,0,False
2025-09-28,36,0,0,0,0,False
2025-10-05,38,0,0,0,0,False
2025-10-12,35,0,0,0,0,False
2025-10-19,39,0,0,0,0,False
2025-10-26,63,0,0,0,0,False
2025-11-02,38,0,0,0,0,False
2025-11-09,37,0,0,1,0,False
2025-11-16,38,1,0,0,0,False
2025-11-23,38,1,0,0,0,False
2025-11-30,37,2,0,1,0,False
2025-12-07,35,4,0,1,0,False
2025-12-14,44,3,0,1,0,False
2025-12-21,44,2,0,1,0,False
2025-12-28,56,2,0,1,0,False
2026-01-04,61,1,0,1,0,False
2026-01-11,53,2,0,1,0,False
2026-01-18,50,2,0,1,0,False
2026-01-25,48,2,0,1,0,False
2026-02-01,37,4,0,1,0,False
2026-02-08,41,3,0,1,0,False
2026-02-15,100,2,0,1,1,False
2026-02-22,48,3,0,1,1,False
2026-03-01,55,2,0,1,0,False
2026-03-08,42,3,0,1,1,False
2026-03-15,40,3,0,1,1,False
2026-03-22,43,5,0,2,1,False
2026-03-29,41,4,0,3,1,False
2026-04-05,40,8,0,2,1,False
2026-04-12,39,11,0,2,2,False
2026-04-19,42,8,0,2,4,False
2026-04-26,53,10,0,3,5,False
2026-05-03,53,7,0,3,2,False
2026-05-10,52,16,0,5,2,False
2026-05-17,43,18,0,6,1,False
2026-05-24,43,20,0,5,1,False
2026-05-31,46,25,0,8,1,False
2026-06-07,44,22,0,5,1,False
2026-06-14,40,12,0,3,1,True
