election_year,term,rows
2018,Alvaro Dias,53
2018,Bolsonaro,53
2018,Cabo Daciolo,53
2018,Ciro Gomes,53
2018,Eymael,53
2018,Geraldo Alckmin,53
2018,Guilherme Boulos,53
2018,Haddad,53
2018,Henrique Meirelles,53
2018,João Amoêdo,53
2018,João Goulart Filho,53
2018,Lula,53
2018,Marina Silva,53
2018,Vera Lúcia,53
2022,Bolsonaro,53
2022,Ciro Gomes,53
2022,Eymael,53
2022,Felipe d'Avila,53
2022,Lula,53
2022,Léo Péricles,53
2022,Padre Kelmon,53
2022,Simone Tebet,53
2022,Sofia Manzano,53
2022,Soraya Thronicke,53
2022,Vera Lúcia,53
current,Aldo Rebelo,54
current,Augusto Cury,54
current,Cabo Daciolo,54
current,Edmilson Costa,54
current,Flávio Bolsonaro,54
current,Hertz Dias,54
current,Lula,54
current,Renan Santos,54
current,Romeu Zema,54
current,Ronaldo Caiado,54
current,Rui Costa Pimenta,54
current,Samara Martins,54
